FullCardNumber,Type,Response,State,Country,Year,Exclusion,Reg_Type,Region,count_2019,Group,Day_1,Day_2,Day_3,first_visit
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,1,,,Day 1
,,,Makkah,Saudi Arabia,2019,,Pre-Reg,ME GCC,1,INTL,1,1,1,Day 1
,,,EAST,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,1,,,Day 1
,,,Wyoming,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,,1,,Day 2
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,1,,,Day 1
,,,Rayadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,1,,,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,1,1,,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,1,,,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,1,,,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,1,1,1,Day 1
,,,Makkah,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,,1,,Day 2
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,,1,,Day 2
,,,Jeddah,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,,1,,Day 2
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,,1,,Day 2
,,,Abu Dhabi,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,,,1,Day 3
,,,Dubai,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,,,1,Day 3
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,,,1,Day 3
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,,,1,Day 3
,,,Dubai,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,,,1,Day 3
,,,Karnataka,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,1,Day 1
,,,Rajasthan,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,Rajasthan,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,New Delhi,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,1,Day 1
,,,Maharashtra,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,1,Day 1
,,,TAMIL NADU,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,1,Day 1
,,,Maharashtra,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,1,,Day 2
,,,Gujarat,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,UTTAR PRADESH,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,1,Day 1
,,,Maharashtra,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
